check_id,severity,valid,observed,expected
calibration_policy_spec_declares_probability_contract,error,True,"{""calibration_policy_id"": ""trial-churn-calibration-policy-v0"", ""source_model_id"": ""random_forest_depth2_class_weight_balanced"", ""method"": ""validation_bin_map_with_laplace_smoothing""}","""calibration policy contract is explicit"""
upstream_imbalance_handoff_is_valid,error,True,"{""imbalance_policy_id"": ""trial-churn-imbalance-policy-v0"", ""selected_model_id"": ""random_forest_depth2_class_weight_balanced"", ""readiness_status"": ""ready_for_calibration_lesson""}","""imbalance handoff is valid and ready for calibration"""
calibration_split_is_independent,error,True,"{""fit_split"": ""train"", ""calibration_split"": ""validation"", ""evaluation_split"": ""test""}","""fit, calibration and evaluation roles are separate"""
calibration_sample_below_minimum,warning,False,3,""">= 20 calibration rows"""
calibration_bins_below_min_rows,warning,False,"[{""bin_id"": ""bin_1"", ""row_count"": 1}, {""bin_id"": ""bin_2"", ""row_count"": 1}, {""bin_id"": ""bin_3"", ""row_count"": 1}]",""">= 2 calibration rows per bin"""
calibration_bins_missing_class_coverage,warning,False,"[{""bin_id"": ""bin_1"", ""positive_count"": 0, ""negative_count"": 1}, {""bin_id"": ""bin_2"", ""positive_count"": 1, ""negative_count"": 0}, {""bin_id"": ""bin_3"", ""positive_count"": 0, ""negative_count"": 1}]","""each non-empty calibration bin should contain both classes"""
calibration_not_fitted_on_test,error,True,"{""calibration_split"": ""validation"", ""test_used_for_calibration"": false}","""test split is held out from calibration fit"""
calibration_bins_reported,error,True,"{""rows"": 6, ""bin_count"": 3}","""calibration bins are reported for validation and test"""
calibration_brier_and_log_loss_reported,error,True,"{""rows"": 4, ""metrics"": [""brier_score"", ""log_loss""]}","""proper scoring rules are reported for calibrated and uncalibrated scores"""
calibration_threshold_impact_reported,error,True,"{""rows"": 16}","""threshold impact report is available"""
fixed_threshold_action_count_changes_after_calibration,warning,False,"{""uncalibrated_action_count"": 3, ""calibrated_action_count"": 1}","""fixed thresholds should be re-audited after calibration"""
tiny_test_improvement_is_not_production_claim,warning,False,"{""uncalibrated_test_brier"": 0.25464, ""calibrated_test_brier"": 0.079012}","""tiny test improvement should be treated as a smoke test, not a launch claim"""
