check_id,severity,valid,observed,expected
leakage_policy_spec_declares_audit_contract,error,True,"{""leakage_policy_id"": ""trial-churn-leakage-policy-v0"", ""source_model_id"": ""random_forest_depth2_class_weight_balanced"", ""selected_model_id"": ""random_forest_depth2_class_weight_balanced""}","""leakage policy contract is explicit"""
upstream_calibration_handoff_is_valid,error,True,"{""calibration_policy_id"": ""trial-churn-calibration-policy-v0"", ""source_model_id"": ""random_forest_depth2_class_weight_balanced"", ""readiness_status"": ""ready_for_leakage_lesson""}","""calibration handoff is valid and ready for leakage audit"""
leakage_no_forbidden_features_in_delivery_model,error,True,"{""delivery_feature_count"": 10, ""blocked_delivery_feature_count"": 0}","""delivery model uses only prediction-time-safe features"""
leakage_forbidden_feature_candidates_reported,warning,False,"{""forbidden_candidate_count"": 5, ""used_in_delivery_model"": 0}","""forbidden candidates should be visible and rejected"""
leakage_preprocessing_fit_scope_is_train_only,error,True,"{""audited_components"": 4}","""no full-sample preprocessing fit is detected"""
leakage_feature_selection_not_outside_cv,error,True,"{""selected_delivery_selectors"": [""predeclared_feature_contract""]}","""no selected delivery selector uses validation/test labels or all-row fit"""
leakage_rejected_feature_selection_patterns_reported,warning,False,"[{""selector_id"": ""select_k_best_all_rows"", ""scope"": ""all_rows_before_split""}, {""selector_id"": ""validation_score_manual_pruning"", ""scope"": ""validation_before_cv""}]","""known bad feature-selection patterns are visible in the audit"""
leakage_model_selection_uses_validation_not_test,error,True,"{""selected_model_id"": ""random_forest_depth2_class_weight_balanced"", ""selection_split"": ""validation"", ""test_metric_visible_to_selector"": false}","""selected delivery model was selected on validation only"""
leakage_test_cherry_pick_candidates_reported,warning,False,"[{""candidate_id"": ""leaky_test_best_threshold_0_5"", ""selection_stage"": ""post_hoc_test_cherry_pick""}]","""test-based cherry-pick candidates are visible and rejected"""
leakage_reports_are_complete,error,True,"{""feature_availability_rows"": 15, ""forbidden_feature_rows"": 5, ""preprocessing_scope_rows"": 4, ""feature_selection_rows"": 4, ""model_selection_rows"": 4}","""all leakage evidence tables were built"""
