check_id,severity,status,observed,expected
metric_observations_required_columns,error,pass,10,null
calendar_required_columns,error,pass,11,null
data_revisions_required_columns,error,pass,9,null
interval_forecasts_required_columns,error,pass,19,null
interval_coverage_required_columns,error,pass,15,null
metric_leaderboard_required_columns,error,pass,15,null
forecast_package_spec_required_fields,error,pass,14,null
anomaly_policy_contains_all_labels,error,pass,"[""data_quality"", ""calendar_expected"", ""model_misspecification"", ""product_signal_candidate"", ""inconclusive""]",null
required_upstream_files_exist,error,pass,10,null
upstream_reports_are_valid,error,pass,10,null
upstream_warnings_propagated_to_decision,warning,warning,"{""backtest_report"": [""small_origin_count_blocks_model_selection_claim"", ""backtest_horizon_shorter_than_final_forecast_horizon""], ""baseline_report"": [""known_future_calendar_effects_not_modeled"", ""embargo_gap_skipped_before_forecast""], ""interval_report"": [""small_origin_count_blocks_interval_sla_claim"", ""interval_horizon_shorter_than_final_forecast"", ""upstream_warnings_limit_interval_claim"", ""diagnostic_model_based_undercoverage_is_warned""], ""metric_report"": [""backtest_warnings_limit_model_selection""], ""model_report"": [""short_history_blocks_model_selection_claim"", ""known_future_calendar_effects_not_modeled_by_candidates"", ""embargo_gap_skipped_before_forecast""], ""resampling_report"": [""partial_daily_rows_excluded_from_training"", ""incomplete_weeks_excluded_from_training""], ""seasonality_report"": [""partial_rows_excluded_from_profiles"", ""future_calendar_effect_has_no_training_examples"", ""monthly_profile_has_single_cycle""], ""temporal_leakage_report"": [""forbidden_feature_candidates_rejected"", ""revisions_after_origin_are_excluded""], ""time_index_report"": [""incomplete_rows_after_complete_through"", ""revisions_after_forecast_origin""], ""window_feature_report"": [""warmup_rows_excluded_from_training"", ""partial_source_rows_excluded_from_training""]}","""no upstream warnings for production release"""
forecast_ids_align,error,pass,"""active-subscriptions-4w-capacity""",null
primary_model_matches_metric_leaderboard,error,pass,"""ets_additive_trend_seasonal_7""",null
primary_interval_method_matches_interval_report,error,pass,"""residual_quantile""",null
primary_interval_forecasts_exist,error,pass,56,null
point_forecast_requires_prediction_interval,error,pass,true,null
anomaly_case_ids_unique,error,pass,41,null
data_quality_cases_not_product_signals,error,pass,"""data-quality cases are separated""",null
calendar_context_cases_not_product_signals,error,pass,"""calendar cases are separated""",null
model_based_undercoverage_flagged_as_model_misspecification,error,pass,14,null
no_unreviewed_product_signal_candidate,error,pass,0,null
decision_report_has_no_causal_claim,error,pass,"""no causal claim""",null
checksum_manifest_covers_inputs_and_outputs,error,pass,23,null
