check_id,severity,status,observed,expected
package_spec_required_fields,error,pass,13,
model_card_sections_complete,error,pass,"[""model_details"", ""intended_use"", ""out_of_scope_uses"", ""training_data"", ""evaluation_data"", ""metrics"", ""calibration"", ""error_analysis"", ""limitations"", ""ethical_considerations"", ""decision"", ""maintenance""]",
package_output_contract_complete,error,pass,"[""decision_report.md"", ""evidence_matrix.csv"", ""ml_baseline_package.json"", ""ml_baseline_package_manifest.json"", ""ml_baseline_package_report.json"", ""model_card.md"", ""model_card_policy_audit.csv"", ""risk_register.csv""]",
model_card_intended_use_matches_problem_spec,error,pass,prioritize support review for eligible trial users,
model_card_blocks_out_of_scope_uses,error,pass,"[""automatic_account_action"", ""causal_effect_of_offer"", ""production_deployment_without_monitoring"", ""segment_readiness_claim_from_overall_metric""]",
decision_policy_blocks_production_and_causal_claims,error,pass,review_required_before_production,
risk_policy_requires_warning_propagation_and_sha256_manifest,error,pass,sha256,
all_required_upstream_reports_present,error,pass,14,
all_required_upstream_reports_parse,error,pass,14,
all_required_evidence_tables_present,error,pass,13,
evidence_tables_required_columns,error,pass,13,
package_spec_reports_match_inputs,error,pass,"[""problem_report"", ""split_report"", ""metric_report"", ""preprocessing_report"", ""pipeline_report"", ""column_transformer_report"", ""baseline_report"", ""tree_report"", ""ensemble_report"", ""cv_report"", ""imbalance_report"", ""calibration_report"", ""leakage_report"", ""error_analysis_report""]",
upstream_reports_are_structurally_valid,error,pass,14,
upstream_readiness_chain_is_complete,error,pass,14,
problem_ids_align_across_package,error,pass,trial-churn-risk-7d-before-end,
source_model_ids_align_across_package,error,pass,random_forest_depth2_class_weight_balanced,
final_holdout_not_used_for_selection,error,pass,"{""calibration_test_used"": false, ""cv_test_used"": false, ""error_analysis_split"": ""test"", ""imbalance_test_used"": false, ""leakage_test_used"": false, ""threshold_selected_on"": ""validation""}",
upstream_warnings_propagated_to_model_card,warning,warning,"{""baseline_report"": 3, ""calibration_report"": 5, ""column_transformer_report"": 2, ""cv_report"": 2, ""ensemble_report"": 4, ""error_analysis_report"": 3, ""imbalance_report"": 4, ""leakage_report"": 3, ""metric_report"": 1, ""pipeline_report"": 2, ""preprocessing_report"": 2, ""problem_report"": 1, ""split_report"": 1, ""tree_report"": 4}",no upstream warnings
error_analysis_evidence_counts_match_report,error,pass,"{""confusion_rows"": 5, ""error_examples"": 1, ""hidden_failure_slices"": 4, ""slice_metrics"": 23, ""small_n_warnings"": 19}",
segment_hidden_failures_block_production_claim,warning,warning,4,0
small_n_segment_claims_are_diagnostic_only,warning,warning,19,0
calibration_evidence_includes_test_calibrated_metrics,error,pass,"{""brier_score"": ""0.079012"", ""expected_calibration_error"": ""0.266666"", ""log_loss"": ""0.318608"", ""negative_count"": ""4"", ""positive_count"": ""1"", ""probability_source"": ""calibrated"", ""row_count"": ""5"", ""score_max"": ""0.555556"", ""score_mean"": ""0.288889"", ""score_min"": ""0.222222"", ""split"": ""test""}",
model_card_requires_human_review_before_production,warning,warning,review_required_before_production,production_ready
