check_id,severity,valid,observed,expected
imbalance_policy_spec_declares_accuracy_weight_threshold_contract,error,True,"{""imbalance_policy_id"": ""trial-churn-imbalance-policy-v0"", ""primary_metric"": ""precision_at_budget"", ""class_weight"": ""balanced""}","""imbalance policy contract is explicit"""
upstream_cv_audit_is_valid,error,True,"{""cv_plan_id"": ""trial-churn-cv-plan-v0"", ""readiness_status"": ""ready_for_imbalance_lesson""}","""cross-validation handoff is valid"""
imbalance_class_distribution_reported,error,True,"{""rows"": 6}","""class distribution is reported by split and CV role"""
imbalance_positive_rate_below_threshold,warning,False,"[{""scope"": ""split"", ""group_id"": ""all_eligible"", ""positive_rate"": 0.333333}, {""scope"": ""split"", ""group_id"": ""validation"", ""positive_rate"": 0.333333}, {""scope"": ""split"", ""group_id"": ""test"", ""positive_rate"": 0.2}]",""">= 0.4 positive rate for stable tiny diagnostics"""
imbalance_accuracy_trap_reported,error,True,"{""rows"": 2}","""accuracy trap report includes recall and balanced accuracy"""
accuracy_trap_detected_on_test,warning,False,"[{""split"": ""test"", ""accuracy"": 0.8, ""positive_recall"": 0.0}]","""accuracy should not be interpreted without positive recall"""
imbalance_class_weight_computed_on_fit_split,error,True,"{""computed_on"": ""train"", ""class_0"": 1.0, ""class_1"": 1.0, ""formula"": ""n_samples / (n_classes * np.bincount(y))""}","""class weights are computed on fit split only"""
imbalance_accuracy_not_primary_metric,error,True,"{""primary_metric"": ""precision_at_budget"", ""forbidden"": [""accuracy"", ""accuracy_at_0_5""]}","""accuracy is diagnostic-only for imbalance"""
imbalance_resampling_not_applied_to_validation_or_test,error,True,"{""allowed"": false, ""reason"": ""tiny profile uses class_weight only; resampling is deferred"", ""if_enabled_fit_scope"": ""cv_train_or_train_only"", ""forbid_resampling_validation_or_test"": true}","""no validation/test resampling is allowed"""
imbalance_threshold_selection_uses_validation,error,True,"""validation""","""validation"""
imbalance_threshold_budget_reported,error,True,"{""rows"": 8, ""selected_model_id"": ""random_forest_depth2_class_weight_balanced""}","""threshold and top-k budget diagnostics are reported"""
class_weight_improves_validation_not_test_expected,warning,False,"{""validation_precision_at_budget"": 0.5, ""test_precision_at_budget"": 0.0}","""class weight improvement should be validated beyond tiny validation"""
fixed_threshold_can_exceed_offer_budget,warning,False,"[{""threshold"": 0.3, ""action_count"": 5, ""selection_budget"": 2}, {""threshold"": 0.5, ""action_count"": 3, ""selection_budget"": 2}]","""fixed threshold should not be assumed to preserve batch budget"""
