model_role,model_id,score_source,calibration_status,threshold,decision_rule,budget_max_actions,budget_status,threshold_is_budget_eligible,threshold_selected,action_count,tp,fp,tn,fn,precision,recall,false_positive_rate,false_negative_rate,total_error_cost,average_error_cost,selected_ids,true_positive_ids,false_positive_ids,false_negative_ids
baseline,random_forest_depth2_class_weight_balanced,calibrated_score,approved_phase15_validation_bin_map,1.0,threshold_policy,2,within_budget,True,False,0,0,0,2,1,,0.0,0.0,1.0,5.0,1.666667,,,,S006
baseline,random_forest_depth2_class_weight_balanced,calibrated_score,approved_phase15_validation_bin_map,0.6,threshold_policy,2,within_budget,True,False,0,0,0,2,1,,0.0,0.0,1.0,5.0,1.666667,,,,S006
baseline,random_forest_depth2_class_weight_balanced,calibrated_score,approved_phase15_validation_bin_map,0.5,threshold_policy,2,within_budget,True,True,1,1,0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,S006,S006,,
baseline,random_forest_depth2_class_weight_balanced,calibrated_score,approved_phase15_validation_bin_map,0.492308,threshold_policy,2,within_budget,True,False,1,1,0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,S006,S006,,
baseline,random_forest_depth2_class_weight_balanced,calibrated_score,approved_phase15_validation_bin_map,0.3,threshold_policy,2,within_budget,True,False,1,1,0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,S006,S006,,
catboost,catboost_depth2_native_categories_es_logloss,score,not_approved_for_candidate,1.0,threshold_policy,2,within_budget,True,True,0,0,0,2,1,,0.0,0.0,1.0,5.0,1.666667,,,,S006
catboost,catboost_depth2_native_categories_es_logloss,score,not_approved_for_candidate,0.6,threshold_policy,2,within_budget,True,False,0,0,0,2,1,,0.0,0.0,1.0,5.0,1.666667,,,,S006
catboost,catboost_depth2_native_categories_es_logloss,score,not_approved_for_candidate,0.5,threshold_policy,2,within_budget,True,False,1,0,1,1,1,0.0,0.0,0.5,1.0,6.0,2.0,S007,,S007,S006
catboost,catboost_depth2_native_categories_es_logloss,score,not_approved_for_candidate,0.492308,threshold_policy,2,over_budget,False,False,3,1,2,0,0,0.333333,1.0,1.0,0.0,2.0,0.666667,"S007,S005,S006",S006,"S007,S005",
catboost,catboost_depth2_native_categories_es_logloss,score,not_approved_for_candidate,0.3,threshold_policy,2,over_budget,False,False,3,1,2,0,0,0.333333,1.0,1.0,0.0,2.0,0.666667,"S007,S005,S006",S006,"S007,S005",
